Title,Abstract,Journal
Adverse adult experiences and health outcomes: Racial and ethnic differences in a low-income sample.,"Extending research on adverse childhood experiences (ACEs), this study aimed to investigate whether the prevalence of and outcomes associated with adverse adult experiences vary among racial and ethnic subgroups. Survey data were collected from 1566 low-income women in Wisconsin using the Adult Experiences Survey (AES). Ten major adult adversities were assessed, including items that reference an intimate partner or household member (e.g., physical or emotional abuse, substance use) along with other social and economic stressors such as homelessness and discrimination. Adverse adult experiences were highly prevalent overall, but even more so among non-Hispanic Whites than their Black and Hispanic counterparts. The results reinforce prior research on ACEs in low-income populations. Lending further credence to these findings, tests of measurement invariance indicated that the AES demonstrated acceptable configural and scalar invariance across racial and ethnic groups. As expected, greater exposure to adult adversity was significantly related to poorer physical and mental health. These associations manifested cross-sectionally and longitudinally for observed and latent measures of adult adversity-even after controlling for ACEs. Associations between adult adversity and health were not moderated by race/ethnicity. In sum, adverse adult experiences were unequally distributed across racial/ethnic groups, but the consequences associated with adversity appeared to be evenly dispersed.",Stress and health : journal of the International Society for the Investigation of Stress
"Ethnicity, Socioeconomic Status, and Health Disparities in a Mixed Rural-Urban US Community-Olmsted County, Minnesota.",To characterize health disparities in common chronic diseases among adults by socioeconomic status (SES) and ethnicity in a mixed rural-urban community of the United States.,Mayo Clinic proceedings
"Surgical sterilization, regret, and race: contemporary patterns.","Surgical sterilization is a relatively permanent form of contraception that has been disproportionately used by Black, Hispanic, and Native American women in the United States in the past. We use a nationally representative sample of 4592 women ages 25-45 to determine whether sterilization continues to be more common and consequential by race for reproductive-age women. Results indicate that Native American and Black women are more likely to be sterilized than non-Hispanic White women, and Hispanic and Native American women are more likely than non-Hispanic White women to report that their sterilization surgeries prevent them from conceiving children they want. Reasons for sterilization differ significantly by race. These findings suggest that stratified reproduction has not ended in the United States and that the patterns and consequences of sterilization continue to vary by race.",Social science research
Assessing invariance across sex and race/ethnicity in measures of youth psychopathic characteristics.,"The aim of this study was to assess the measurement invariance of 2 commonly used measures of youth psychopathic characteristics across sex and racial/ethnic groups. Among a community sample of Hispanic and Black adolescents (N = 355; 50.5% female; mean age = 15.09) and their parents, this study tested the configural and metric invariance of the Levenson Self-Report Psychopathy Scale (LSRP; Levenson, Fitzpatrick, & Kiehl, 1995) and the parent-report version of the Inventory of Callous-Unemotional Traits (Frick, 2004). Preliminary analyses indicated that the adolescents in the present study reported similar rates of psychopathic characteristics as those reported by other studies of adolescents and young adults. Results of the multigroup invariance analyses indicated that these measures are invariant across sex and between Hispanic and Black youth. In addition, further analyses assessing associations between these measures and a number of behavioral and emotional characteristics indicated that scores on the LSRP Scale and Callous-Unemotional Traits demonstrate good convergent and discriminant validity with few differences by sex or race/ethnicity. To date, research on psychopathy has focused predominantly on samples of White males. Therefore, it is important that research examines the equivalence of measures of psychopathic characteristics across different populations, so that accurate assessments can be made to inform intervention and treatment efforts.",Psychological assessment
"Income inequality, alcohol use, and alcohol-related problems.",We examined the relationship between state-level income inequality and alcohol outcomes and sought to determine whether associations of inequality with alcohol consumption and problems would be more evident with between-race inequality measures than with the Gini coefficient. We also sought to determine whether inequality would be most detrimental for disadvantaged individuals.,American journal of public health
Racial and Ethnic Differences in Socioeconomic Position and Risk of Childhood Acute Lymphoblastic Leukemia.,"Racial and ethnic differences in associations between socioeconomic position (SEP) and risk of childhood acute lymphoblastic leukemia (ALL) were investigated using data from population-based cancer registries in the Surveillance, Epidemiology, and End Results Program in the United States. The study included 8,383 ALL cases diagnosed at age ≤19 years in 2000-2010. Census tract-level composite SEP index in quintiles was assigned based on residence at the time of diagnosis. Incidence rate ratios and 95% confidence intervals associated with SEP and race/ethnicity, adjusted for sex, age, and year of diagnosis, were estimated using Poisson regression models. The incidence rate of childhood ALL was negatively associated with SEP among Hispanics but was positively associated among children of other races/ethnicities. As compared with the lowest SEP, the adjusted incidence rate ratios for children with the highest SEP were 1.29 (95% confidence interval (CI): 1.15, 1.44) for non-Hispanic whites, 1.67 (95% CI: 1.20, 2.34) for non-Hispanic blacks, 1.57 (95% CI: 1.17, 2.09) for Asians/Pacific Islanders, 2.33 (95% CI: 0.93, 5.83) for American Indians/Alaska Natives, and 0.70 (95% CI: 0.60, 0.81) for Hispanics. The findings of a reverse association in Hispanics need to be confirmed and further explained in future studies using different measures of SEP.",American journal of epidemiology
"Intersections of poverty, race/ethnicity, and sex: alcohol consumption and adverse outcomes in the United States.","We examine whether intersectionality theory-which formalizes the notion that adverse health outcomes owing to having a marginalized social status, identity, or characteristic, may be magnified for individuals with an additional marginalized social status, identity, or characteristic-can be applied using quantitative methods to describe the differential effects of poverty on alcohol consumption across sex and race/ethnicity. Using the National Epidemiologic Survey on Alcohol and Related Conditions, we analyze longitudinal data from Black, Hispanic, and White drinkers (n = 21,140) to assess multiplicative interactions between poverty, as defined by the US Census Bureau, sex, and race/ethnicity, on adverse alcohol outcomes. Findings indicated that the effect of poverty on the past-year incidence of heavy episodic drinking was stronger among Black men and Black women in comparison to men and women of other racial/ethnic groups. Poverty reduction programs that are culturally informed may help reduce racial/ethnic disparities in the adverse outcomes of alcohol consumption.",Social psychiatry and psychiatric epidemiology
"The influences of race, ethnicity, and poverty on the mental health of children.","Sufficient evidence demonstrates that poverty has a negative effect on the psychological well-being of children, but most research has focused only on white populations. The purpose of this literature review is to gain a better understanding of the positive and negative influences of socioeconomic factors, cultural/ethnic characteristics, and racial differences on the mental health of children. A review of the literature on the influence of race, ethnicity, and poverty on the mental health of children found that (1) children whose parents are in poverty or who have experienced severe economic losses are more likely to report or be reported to have higher rates of depression, anxiety, and antisocial behaviors; and (2) after controlling for socioeconomic status, African Americans, Native Americans, and Hispanics are less likely to report or be reported to have such mental health problems. A theoretical construct for this protective effect is related to cultural factors, such as perceived social support, deep religiosity/spirituality, extended families, and maternal coping strategies as buffers against psychological distress.",Journal of health care for the poor and underserved
General surgery textbooks and surgical disparities.,Some academic textbooks have previously disseminated simplistic or even incorrect conceptions of race. Propagation of such ideas in General Surgery could contribute to gaps in quality of care received by minority patients. This study aims to determine whether General Surgery textbooks provide a thorough understanding of racial disparities.,Journal of the National Medical Association
Prevalence of Depression Among Stroke Survivors: Racial-Ethnic Differences.,"Although poststroke depression is common, racial-ethnic disparities in depression among stroke survivors remain underexplored. Thus, we investigated the relationship between race/ethnicity and depression in a multiracial-ethnic stroke cohort.",Stroke
Global Neighborhoods: Beyond the Multiethnic Metropolis.,"Neighborhoods where blacks and whites live in integrated settings alongside Hispanics and Asians represent a new phenomenon in the United States. These ""global neighborhoods"" have previously been identified in the nation's most diverse metropolitan centers. This study examines the full range of metropolitan areas to ask whether similar processes are occurring in other parts of the country. Is there evidence of stable racial integration in places that lack such diversity? What are the paths of neighborhood change in areas with few Hispanic or Asian residents, or areas where Hispanics are the principal minority group, or where there is no large minority presence at all? We distinguish four types of metropolitan regions: white, white/black, white/Hispanic/Asian, and multiethnic. These regions necessarily differ greatly in neighborhood composition, but some similar trajectories of neighborhood change are found in all of them. The results provide new evidence of the effect of Hispanic and Asian presence on black-white segregation in all parts of the country.",Demography
Race and Ethnicity Representation in Phase 2/3 Oncology Clinical Trial Publications: A Systematic Review.,"The five 1997 Office of Management and Budget races in the US include American Indian or Alaska Native, Asian, Black or African American, Native Hawaiian or Other Pacific Islander, and White, with Hispanic ethnicity. Despite the Affordable Care Act mandating Office of Management and Budget-based collecting and reporting standards, race and ethnicity publishing in medical journals is inconsistent, despite being necessary to achieve health equity.",JAMA health forum
Sociodemographic and environmental factors associated with childhood sleep duration.,This study investigates sociodemographic and environmental correlates of sleep duration among school-aged children.,Sleep health
Nasal Analysis: Considerations for Ethnic Variation.,"As the United States continues to be more ethnically and racially diverse, it is important for the rhinoplasty surgeon to have an appreciation and understanding of nasal variations that exist to plan for and execute ethnically congruent results. The nasal analysis is a critical component of the patient evaluation, which has been used as a tool by surgeons to identify deviations from anatomical norms or canons. In this article, the authors describe common nasal anatomical variations that exist between ethnic groups as a guide for nasal analysis. Understanding these variations will facilitate and help define important cultural aesthetics, which can be used to plan for rhinoplasties in a diverse patient population.",Plastic and reconstructive surgery
Longitudinal measures of neighborhood poverty and income inequality are associated with adverse birth outcomes in Texas.,"Inequity in adverse birth outcomes between black and white women in the U.S. is persistent, despite decades of research and prevention efforts. Neighborhood environments are plausibly related to pre-pregnancy health and other risk factors for adverse birth outcomes and may help explain black/white inequities. Despite the fact that neighborhoods change over time, most prior work has relied upon cross-sectional measures of neighborhood economic contexts.",Social science & medicine (1982)
"BMI trends, socioeconomic status, and the choice of dataset.","This study is a descriptive investigation of trends in BMI in the USA over time, across race/ethnicity, gender, and socioeconomic status (SES) groups, and across different datasets.",Obesity facts
Suicide Risk Among College Student. The Intersection of Sexual Orientation and Race.,Research on young adults in the general population has identified a relationship between sexual minority identification and risk for suicide. Differential rates of suicidal ideation and attempts have also been found across racial and ethnic groups.,Crisis
Ethnoracial disparities in cognition are associated with multiple socioeconomic status-stress pathways.,"Systemic racism can have broad impacts on health in ethnoracial minorities. One way is by suppressing socioeconomic status (SES) levels through barriers to achieve higher income, wealth, and educational attainment. Additionally, the weathering hypothesis proposes that the various stressful adversities faced by ethnoracial minorities lead to greater wear and tear on the body, known as allostatic load. In the present study, we extend these ideas to cognitive health in a tri-ethnic sample of young adults-when cognition and brain health is arguably at their peak. Specifically, we tested competing mediation models that might shed light on how two key factors caused by systemic racism-SES and perceived stress-intersect to explain ethnoracial disparities in cognition. We found evidence for partial mediation via a pathway from SES to stress on episodic memory, working memory capacity, and executive function in Black Americans relative to non-Hispanic White Americans. Additionally, we found that stress partially mediated the ethnoracial disparities in working memory updating for lower SES Black and Hispanic Americans relative to non-Hispanic White Americans, showing that higher SES can sometimes reduce the negative effects stress has on these disparities in some cognitive domains. Overall, these findings suggest that multiple pathways exist in which lower SES creates a stressful environment to impact ethnoracial disparities cognition. These pathways differ depending on the specific ethnoracial category and cognitive domain. The present results may offer insight into strategies to help mitigate the late-life risk for neurocognitive disorders in ethnoracial minorities.",Cognitive research: principles and implications
